A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
B34.2,Zakażenia koronawirusowe, nieokreślone
B34.3,Zakażenia parvowirusowe, nieokreślone
B34.4,Zakażenia papowawirusowe, nieokreślone
B34.8,Inne zakażenia wirusowe o nieustalonym umiejscowieniu
B34.9,Zakażenia wirusowe, nieokreślone
B35.0,Grzybica owłosionej skóry głowy i brody
B35.1,Grzybica paznokci
B35.2,Grzybica rąk
B35.3,Grzybica stóp
B35.4,Grzybica ciała
B35.5,Grzybica łuskowata [tinea imbricata]
B35.6,Grzybica goleni
B35.8,Inne grzybice
B35.9,Grzybica skóry, nieokreślona
B36.0,Łupież pstry [pityriasis versicolor]
B36.1,Grzybica czarna [tinea nigra]
B36.2,Piedra biała
B36.3,Piedra czarna
B36.8,Inne określone grzybice powierzchowne
B36.9,Grzybica powierzchowna, nieokreślona
B37.0,Zapalenie jamy ustnej wywołane przez Candida
B37.1,Kandydoza płucna
B37.2,Kandydoza skóry i paznokci
B37.3,Kandydoza sromu i pochwy (N77.1*)
B37.4,Kandydoza umiejscowiona w innych częściach okolicy moczowo-płciowej
B37.5,Zapalenie opon mózgowych wywołane przez Candida (G02.1*)
B37.6,Zapalenie wsierdzia wywołane przez Candida (I39.8*)
B37.7,Posocznica wywołana przez Candida
B37.8,Kandydoza o innym umiejscowieniu
B37.9,Kandydoza, nieokreślona
B38.0,Ostra kokcydioidomikoza płucna
B38.1,Przewlekła kokcydioidomikoza płucna
B38.2,Kokcydioidomikoza płucna, nieokreślona
B38.3,Kokcydioidomikoza skórna
B38.4,Kokcydioidomikozowe zapalenie opon mózgowych (G02.1*)
B38.7,Kokcydioidomikoza rozsiana
B38.8,Inne postacie kokcydioidomikozy
B38.9,Kokcydioidomikoza, nieokreślona
B39.0,Ostra płucna histoplazmoza (H.capsulatum)
B39.1,Przewlekła płucna histoplazmoza (H.capsulatum)
B39.2,Płucna histoplazmoza (H.capsulatum), nieokreślona
B39.3,Histoplazmoza rozsiana (H.capsulatum)
B39.4,Histoplazmoza (H.capsulatum), nieokreślona
B39.5,Histoplazmoza (H.duboisii)
B39.9,Histoplazmoza, nieokreślona
B40,Drożdżyca [blastomykoza]
B40.0,Ostra drożdżyca płucna
B40.1,Przewlekła drożdżyca płucna
B40.2,Drożdżyca płucna, nieokreślona
B40.3,Drożdżyca skórna
B40.7,Drożdżyca rozsiana
B40.8,Inne postacie drożdżycy
B40.9,Drożdżyca, nieokreślona
B41.0,Parakokcydioidomikoza płucna
B41.7,Parakokcydioidomikoza rozsiana
B41.8,Inne postacie parakokcydioidomikozy
B41.9,Parakokcydioidomikoza, nieokreślona
B42.0,Sporotrychoza płucna (J99.8*)
B42.1,Sporotrychoza limfatyczno-skórna
B42.7,Sporotrychoza rozsiana
B42.8,Inne postacie sporotrychozy
B42.9,Sporotrychoza, nieokreślona
B43.0,Chromomikoza skórna
B43.1,Feomykotyczny ropień mózgu
B43.2,Podskórny feomykotyczny ropień i torbiel
B43.8,Inne postacie chromomikozy
B43.9,Chromomikoza, nieokreślona
B44.0,Inwazyjna grzybica kropidlakowa płuc
B44.1,Inne grzybice kropidlakowe płuc
B44.2,Grzybica kropidlakowa migdałków
B44.7,Grzybica kropidlakowa rozsiana
B44.8,Inne postacie grzybicy kropidlakowej
B44.9,Grzybica kropidlakowa, nieokreślona
B45.0,Kryptokokoza płucna
B45.1,Kryptokokoza mózgowa
B45.2,Kryptokokoza skórna
B45.3,Kryptokokoza kostna
B45.7,Kryptokokoza rozsiana
B45.8,Inne postacie kryptokokozy
B45.9,Kryptokokoza, nieokreślona
B46.0,Mukormykoza płucna
B46.1,Mukormykoza nosowo-mózgowa
B46.2,Mukormykoza żołądkowo-jelitowa
B46.3,Mukormykoza skórna
B46.4,Mukormykoza rozsiana
B46.5,Mukormykoza, nieokreślona
B46.8,Inne mukormikozy
B46.9,Mukormykoza, nieokreślona
B47.0,Eumycetoma
B47.1,Grzybica madurska promienicza
B47.9,Maduromikoza, nieokreślona
B48.0,Drożdżyca Lobo [Lobomycosis]
B48.1,Rinosporydioza
B48.2,Alleszerioza
B48.3,Geotrychoza
B48.4,Penicyloza
B48.7,Grzybice tzw. "oportunistyczne"
B48.8,Inne określone grzybice
B49,Grzybice, nieokreślone
B50.0,Zimnica wywołana przez Plasmidium falciparum z powikłaniami mózgowymi
B50.8,Inne ciężkie i powikłane zimnice wywołane przez Plasmidium falciparum
B50.9,Zimnica wywołana przez Plasmidium falciparum, nieokreślona
B51.0,Zimnica wywołana przez Plasmidium vivax z pęknięciem śledziony
B51.8,Zimnica wywołana przez Plasmidium vivax z innymi powikłaniami
B51.9,Zimnica wywołana przez Plasmidium vivax bez powikłań
B52.0,Zimnica wywołana przez Plasmidium malariae z nefropatią
B52.8,Zimnica wywołana przez Plasmidium malariae z innymi powikłaniami
B52.9,Zimnica wywołana przez Plasmidium malariae bez powikłań
B53.0,Zimnica wywołana przez Plasmidium ovale
B53.1,Zimnica wywołana przez zarodźce małpie
B53.8,Inne postacie zimnicy potwierdzone parazytologicznie, niesklasyfikowane gdzie indziej
B54,Zimnica nieokreślona
B55.0,Leiszmanioza trzewna
B55.1,Leiszmanioza skórna
B55.2,Leiszmanioza skóry i błon śluzowych
B55.9,Leiszmanioza, nieokreślona
B56.0,Trypanosomoza gambijska
B56.1,Trypanosomoza rodezyjska
B56.9,Trypanosomoza afrykańska, nieokreślona
B57.0,Ostra choroba Chagasa z zajęciem serca (I41.2*, I98.1*)
B57.1,Ostra choroba Chagasa bez zajęcia serca
B57.2,Choroba Chagasa (przewlekła) z zajęciem serca (I41.2*, I98.1*)
B57.3,Choroba Chagasa (przewlekła) z zajęciem układu pokarmowego
B57.4,Choroba Chagasa (przewlekła) z zajęciem układu nerwowego
B57.5,Choroba Chagasa (przewlekła) z zajęciem innych narządów
B58.0,Okulopatia toksoplazmozowa
B58.1,Toksoplazmozowe zapalenie wątroby (K77.0*)
B58.2,Toksoplazmozowe zapalenie opon mózgowych i mózgu (G05.2*)
B58.3,Toksoplazmoza płucna (J17.3*)
B58.8,Toksoplazmoza z zajęciem innych narządów
B58.9,Toksoplazmoza, nieokreślona
B59,Pneumocystoza
B60.0,Babezjoza
B60.1,Akantameboza
B60.2,Neglerioza
B60.8,Inne określone choroby pasożytnicze
B64,Nieokreślone choroby pasożytnicze
B65.0,Schistosomoza wywołana przez Schistosoma hematobium (przywra krwi)
B65.1,Schistosomoza wywołana przez Schistosoma mansoni [Schistosomiaza jelitowa]
B65.2,Schistosomoza wywołana przez Schistosoma japonicum
B65.3,Zapalenie skóry cerkariowe
B65.8,Inne schistosomozy
B65.9,Schistosomoza, nieokreślona
B66.0,Opistorchoza [opishorchiasis]
B66.1,Klonorchoza [clonorchiasis]
B66.2,Dikrocelioza [dicrocoeliasis]
B66.3,Fascioloza [Fasciolosis]
B66.4,Paragonimoza [paragonimosis]
B66.5,Fasciolopsoza [fasciolopsidosis]
B66.8,Inne określone zakażenia przywrami
B66.9,Zakażenie przywrami, nieokreślone
B67.0,Bąblowica wątroby wywołana przez E.granulosus
B67.1,Bąblowica płuc wywołana przez E.granulosus
B67.2,Bąblowica kości wywołana przez E.granulosus
B67.3,Bąblowica wywołana przez E.granulosus, o innym mnogim umiejscowieniu
B67.4,Bąblowica wywołana przez E.granulosus, nieokreślona
B67.5,Bąblowica wątroby wywołana przez E.multilocularis
B67.6,Bąblowica wywołana przez E.multilocularis, o innym i mnogim umiejscowieniu
B67.7,Bąblowica wywołana przez E.multilocularis, nieokreślona
B67.8,Bąblowica wątroby, nieokreślona
B67.9,Bąblowica inna i nieokreślona
B68.0,Tasiemczyca wywołana przez tasiemca uzbrojonego (T.solium)
B68.1,Tasiemczyca wywołana przez tasiemca nieuzbrojonego (T.saginata)
B68.9,Tasiemczyca, nieokreślona
B69.0,Wągrzyca ośrodkowego układu nerwowego
B69.1,Wągrzyca oka
B69.8,Wągrzyca o innym umiejscowieniu
B69.9,Wągrzyca, nieokreślona
B70.0,Dyfilobotrioza
B70.1,Sparganoza
B71.0,Hymenolepidoza
B71.1,Dipylidoza
B71.8,Inne określone zakażenia tasiemcami
B71.9,Zakażenia tasiemcami, nieokreślone
B72,Drakunkuloza [dracuculiasis]
B73,Onchocerkoza [onchocercosis]
B74.0,Filarioza wywołana przez Wuchereria bancrofti
B74.1,Filarioza wywołana przez Brugia malayi
B74.2,Filarioza wywołana przez Burgia timori
B74.3,Loaoza [loaosis]
B74.4,Mansoneloza [mansonelliasis]
B74.8,Inne filariozy
B74.9,Filarioza, nieokreślona
B75,Włośnica [trichicelloza]
B76.0,Ankylostomoza [ancylostomiasis]
B76.1,Nekatorioza [necatoriasis]
B76.8,Inne choroby tęgoryjcowe
B76.9,Choroba tęgoryjcowa, nieokreślona
B77.0,Glistnica z powikłaniami jelitowymi
B77.8,Glistnica bez innych powikłań
B77.9,Glistnica, nieokreślona
B78.0,Węgorczyca jelitowa
B78.1,Węgorczyca skórna
B78.7,Węgorczyca rozsiana
B78.9,Węgorczyca, nieokreślona
B79,Włosogłówczyca [trichurioza]
B80,Owsica [enterobioza]
B81.0,Anisakioza [anisakiasis]
B81.1,Kapilarioza jelitowa
B81.2,Trichostrogyloza [trichostrongyliasis]
B81.3,Angiostrogyloza jelitowa
B81.4,Mieszana robaczyca jelitowa
B81.8,Inne określone robaczyce jelitowe
B82.0,Robaczyca jelitowa, nieokreślona
B82.9,Zakażenia pasożytami jelitowymi, nieokreślone
B83.0,Larwa wędrująca trzewna
B83.1,Gnatostomoza [gnathostomatosis]
B83.2,Angiostrogyloza wywołana przez Parastrongylus cantonensis
B83.3,Syngamoza [syngamosis]
B83.4,Pijawczyca wewnętrzna [hirudiniasis internal]
B83.8,Inne określone robaczyce
B83.9,Robaczyca, nieokreślona
B85.0,Wszawica wywołana przez Pediculus humanus capitis
B85.1,Wszawica wywołana przez Pediculus humanus corporis
B85.2,Wszawica, nieokreślona
B85.3,Wszawica łonowa
B85.4,Mieszana wszawica
B86,Świerzb
B87.0,Muszyca skórna
B87.1,Muszyca ran
B87.2,Muszyca oczna
B87.3,Muszyca nosowo-gardłowa
B87.4,Muszyca uszna
B87.8,Muszyca o innym umiejscowieniu
B87.9,Muszyca, nieokreślona
B88.0,Inne choroby wywołane przez roztocza [akariozy]
B88.1,Tungoza [inwazja pchły piaskowej]
B88.2,Inwazje innych stawonogów
B88.3,Pijawczyca zewnętrzna [hirudinosis]
B88.8,Inne określone inwazje pasożytnicze
B88.9,Inwazje pasożytnicze, nieokreślone
B89,Choroby pasożytnicze, nieokreślone
B90.9,Następstwa gruźlicy układu oddechowego i nieokreślone
B91,Następstwa nagminnego porażenia dzieciecego
B99,Choroby zakaźne inne i nieokreślone
C00.0,Nowotwór złośliwy (powierzchnia zewnętrzna wargi górnej)
C00.1,Nowotwór złośliwy (powierzchnia zewnętrzna wargi dolnej)
C00.2,Nowotwór złośliwy (powierzchnia zewnętrzna wargi, nieokreślona)
C00.3,Nowotwór złośliwy (powierzchnia wewnętrzna wargi górnej)
C00.4,Nowotwór złośliwy (powierzchnia wewnętrzna wargi dolnej)
C00.5,Nowotwór złośliwy (powierzchnia wewnętrzna wargi nieokreślonej (górna lub dolna))
C00.6,Nowotwór złośliwy (spoidło wargi)
C00.8,Nowotwór złośliwy (zmiana przekraczająca granice wargi)
C00.9,Nowotwór złośliwy (warga, nieokreślona)
C01,Nowotwór złośliwy nasady języka
C02.0,Nowotwór złośliwy (powierzchnia grzbietowa języka)
C02.1,Nowotwór złośliwy (brzeg języka)
C02.2,Nowotwór złośliwy (dolna powierzchnia języka)
C02.3,Nowotwór złośliwy (przednie dwie trzecie części języka, część nieokreślona)
C02.4,Nowotwór złośliwy (migdałek językowy)
C02.8,Nowotwór złośliwy (zmiana przekraczająca granice języka)
C02.9,Nowotwór złośliwy (język, nieokreślony)
C03.0,Nowotwór złośliwy (dziąsło górne)
C03.1,Nowotwór złośliwy (dziąsło dolne)
C03.9,Nowotwór złośliwy (dziąsło, nieokreślone)
C04.0,Nowotwór złośliwy (przednia część dna jamy ustnej)
C04.1,Nowotwór złośliwy (boczna część dna jamy ustnej)
C04.8,Nowotwór złośliwy (zmiana przekraczająca granice dna jamy ustnej)
C04.9,Nowotwór złośliwy (dno jamy ustnej, nieokreślone)
C05.0,Nowotwór złośliwy (podniebienie twarde)
C05.1,Nowotwór złośliwy (podniebienie miękkie)
C05.2,Nowotwór złośliwy (języczek)
C05.8,Nowotwór złośliwy (zmiana przekraczająca granice podniebienia miękkiego)
C05.9,Nowotwór złośliwy (podniebienie, nieokreślone)
C06.0,Nowotwór złośliwy (śluzówka policzka)
C06.1,Nowotwór złośliwy (przedsionek jamy ustnej)
C06.2,Nowotwór złośliwy (przestrzeń zatrzonowa)
C06.8,Nowotwór złośliwy (zmiana przekraczająca granice innych i nieokreślonych części jamy ustnej)
C06.9,Nowotwór złośliwy (jama ustna, nieokreślona)
C07,Nowotwór złośliwy ślinianki przyusznej
C08.0,Nowotwór złośliwy (ślinianka podżuchwowa)
C08.1,Nowotwór złośliwy (ślinianka podjęzykowa)
C08.8,Nowotwór złośliwy (zmiana przekraczająca granice dużych gruczołów ślinowych )
C08.9,Nowotwór złośliwy (duże gruczoły ślinowe, nieokreślone)
C09.0,Nowotwór złośliwy (dół migdałkowy)
C09.1,Nowotwór złośliwy (łuki podniebienne (podniebienno-językowy) (podniebienno-gardłowy))
C09.8,Nowotwór złośliwy (zmiana przekraczająca granice migdałka)
C09.9,Nowotwór złośliwy (migdałek, nieokreślony)
C10.0,Nowotwór złośliwy (dolinka nagłośniowa)
C10.1,Nowotwór złośliwy (przednia powierzchnia nagłośni)
C10.2,Nowotwór złośliwy (ściana boczna części ustnej gardła)
C10.3,Nowotwór złośliwy (ściana tylna części ustnej gardła)
C10.4,Nowotwór złośliwy (szczelina skrzelowa)
C10.8,Nowotwór złośliwy (zmiana przekraczająca granice części ustnej gardła )
C10.9,Nowotwór złośliwy (część ustna gardła, nieokreślona)
C11.0,Nowotwór złośliwy (ściana górna części nosowej gardła)
C11.1,Nowotwór złośliwy (ściana tylna części nosowej gardła)
C11.2,Nowotwór złośliwy (ściana boczna części nosowej gardła)
C11.3,Nowotwór złośliwy (ściana przednia części nosowej gardła)
C11.8,Nowotwór złośliwy (zmiany przekraczające granice części nosowej gardła)
C11.9,Nowotwór złośliwy (część nosowa gardła, nieokreślona)
C12,Nowotwór złośliwy zachyłka gruszkowatego
C13.0,Nowotwór złośliwy (okolica płytki chrząstki pierścieniowatej)
C13.1,Nowotwór złośliwy (fałd nalewkowo-nagłośniowy i powierzchnia gardłowa fałdu nalewkowo-nagłośniowego)
C13.2,Nowotwór złośliwy (tylna ściana części krtaniowej gardła)
C13.8,Nowotwór złośliwy (zmiana przekraczająca granice części krtaniowej gardła)
C13.9,Nowotwór złośliwy (część krtaniowa gardła, nieokreślona)
C14.0,Nowotwór złośliwy (gardło o umiejscowieniu nieokreślonym)
C14.2,Nowotwór złośliwy (pierścień chłonny gardłowy waldeyera)
C14.8,Nowotwór złośliwy (zmiana przekraczająca granice wargi, jamy ustnej i gardła)
C15.0,Nowotwór złośliwy (szyjna część przełyku)
C15.1,Nowotwór złośliwy (piersiowa część przełyku)
C15.2,Nowotwór złośliwy (brzuszna część przełyku)
C15.3,Nowotwór złośliwy (górna trzecia część przełyku)
C15.4,Nowotwór złośliwy (środkowa trzecia część przełyku)
C15.5,Nowotwór złośliwy (dolna trzecia część przełyku)
C15.8,Nowotwór złośliwy (zmiana przekraczająca granice przełyku)
C15.9,Nowotwór złośliwy (przełyk, nieokreślony)
C16.0,Nowotwór złośliwy (wpust)
C16.1,Nowotwór złośliwy (dno żołądka)
C16.2,Nowotwór złośliwy (trzon żołądka)
C16.3,Nowotwór złośliwy (ujście odźwiernika)
C16.4,Nowotwór złośliwy (odźwiernik)
C16.5,Nowotwór złośliwy (krzywizna mniejsza żołądka, nieokreślona)
C16.6,Nowotwór złośliwy (krzywizna większa żołądka, nieokreślona)
C16.8,Nowotwór złośliwy (zmiana przekraczająca granice żołądka)
C16.9,Nowotwór złośliwy (żołądek, nieokreślony)
C17.0,Nowotwór złośliwy (dwunastnica)
C17.1,Nowotwór złośliwy (jelito czcze)
C17.2,Nowotwór złośliwy (jelito kręte)
C17.3,Nowotwór złośliwy (uchyłek Meckela)
C17.8,Nowotwór złośliwy (zmiana przekraczająca granice jelita cienkiego)
C17.9,Nowotwór złośliwy (jelito cienkie, nieokreślone)
C18.0,Nowotwór złośliwy (jelito ślepe)
C18.1,Nowotwór złośliwy (wyrostek robaczkowy)
C18.2,Nowotwór złośliwy (okrężnica wstępująca)
C18.3,Nowotwór złośliwy (zgięcie wątrobowe)
C18.4,Nowotwór złośliwy (okrężnica poprzeczna)
C18.5,Nowotwór złośliwy (zgięcie śledzionowe)
C18.6,Nowotwór złośliwy (okrężnica zstępująca)
C18.7,Nowotwór złośliwy (esica)
C18.8,Nowotwór złośliwy (zmiana przekraczająca granice okrężnicy)
C18.9,Nowotwór złośliwy (okrężnica, nieokreślona)
C19,Nowotwór złośliwy zgięcia esiczo-odbytniczego
C20,Nowotwór złośliwy odbytnicy
C21.0,Nowotwór złośliwy (odbyt, nieokreślony)
C21.1,Nowotwór złośliwy (kanał odbytu)
C21.2,Nowotwór złośliwy (strefa kloakogenna)
C21.8,Nowotwór złośliwy (zmiana przekraczająca granice odbytu i kanału odbytu)
C22.0,Nowotwór złośliwy (rak komórek wątroby)
C22.1,Nowotwór złośliwy (rak przewodów żółciowych wewnątrzwątrobowych)
C22.2,Nowotwór złośliwy (wątrobiak zarodkowy (hepatoblastoma))
C22.3,Nowotwór złośliwy (mięsak naczyniowy wątroby)
C22.4,Nowotwór złośliwy (inne mięsaki wątroby)
C22.7,Nowotwór złośliwy (inne nieokreślone raki wątroby)
C22.9,Nowotwór złośliwy (wątroba, nieokreślona)
C23,Nowotwór złośliwy pęcherzyka żółciowego
C24.0,Nowotwór złośliwy (zewnątrzwątrobowe drogi żółciowe)
C24.1,Nowotwór złośliwy (brodawka większa dwunastnicy vatera)
C24.8,Nowotwór złośliwy (zmiana przekraczająca granice dróg żółciowych)
C24.9,Nowotwór złośliwy (drogi żółciowe, nieokreślone)
C25.0,Nowotwór złośliwy (głowa trzustki)
C25.1,Nowotwór złośliwy (trzon trzustki)
C25.2,Nowotwór złośliwy (ogon trzustki)
C25.3,Nowotwór złośliwy (przewód trzustkowy)
C25.4,Nowotwór złośliwy (część wewnątrzwydzielnicza trzustki)
C25.7,Nowotwór złośliwy (inna część trzustki)
C25.8,Nowotwór złośliwy (zmiana przekraczająca granice trzustki)
C25.9,Nowotwór złośliwy (trzustka, nieokreślona)
C26.0,Nowotwór złośliwy (przewód pokarmowy, część nieokreślona)
C26.1,Nowotwór złośliwy (śledziona)
C26.8,Nowotwór złośliwy (zmiana przekraczająca granice narządów trawiennych)
C26.9,Nowotwór złośliwy (część układu trawiennego niedokładnieokreślona)
C30.0,Nowotwór złośliwy (jama nosowa)
C30.1,Nowotwór złośliwy (ucho środkowe)
C31.0,Nowotwór złośliwy (zatoka szczękowa )
C31.1,Nowotwór złośliwy (komórki sitowe)
C31.2,Nowotwór złośliwy (zatoka czołowa)
C31.3,Nowotwór złośliwy (zatoka klinowa)
C31.8,Nowotwór złośliwy (zmiana przekraczająca granice zatok przynosowych)
C31.9,Nowotwór złośliwy (zatoka przynosowa, nieokreślona)
C32.0,Nowotwór złośliwy (głośnia)
C32.1,Nowotwór złośliwy (nagłośnia)
C32.2,Nowotwór złośliwy (jama podgłośniowa)
C32.3,Nowotwór złośliwy (chrząstki krtani )
C32.8,Nowotwór złośliwy (zmiana przekraczająca granice krtani)
C32.9,Nowotwór złośliwy (krtań, nieokreślona)
C33,Nowotwór złośliwy tchawicy
C34.0,Nowotwór złośliwy (oskrzele główne)
C34.1,Nowotwór złośliwy (płat górny płuca lub oskrzele płatowe górne)
C34.2,Nowotwór złośliwy (płat środkowy płuca lub oskrzele płatowe środkowe)
C34.3,Nowotwór złośliwy (płat dolny płuca lub oskrzele płatowe dolne)
C34.8,Nowotwór złośliwy (zmiana przekraczająca granice oskrzela i płuca)
C34.9,Nowotwór złośliwy (oskrzele lub płuco, nieokreślone)
C37,Nowotwór złośliwy grasicy
C38.0,Nowotwór złośliwy (serce)
C38.1,Nowotwór złośliwy (śródpiersie przednie)
C38.2,Nowotwór złośliwy (śródpiersie tylne)
C38.3,Nowotwór złośliwy (śródpiersie, część nieokreślona)
C38.4,Nowotwór złośliwy (opłucna)
C38.8,Nowotwór złośliwy (zmiana przekraczająca granice serca, śródpiersia i opłucnej)
C39.0,Nowotwór złośliwy (górna część dróg oddechowych, część nieokreślona)
C39.8,Nowotwór złośliwy (zmiany przekraczające granice układu oddechowego i narządów klatki piersiowej)
C39.9,Nowotwór złośliwy (niedokładnieokreślone umiejscowienie w obrębie układu oddechowego)
C40.0,Nowotwór złośliwy (łopatka i kości długie kończyny górnej)
C40.1,Nowotwór złośliwy (kości krótkie kończyny górnej)
C40.2,Nowotwór złośliwy (kości długie kończyny dolnej)
C40.3,Nowotwór złośliwy (kości krótkie kończyny dolnej)
C40.8,Nowotwór złośliwy (zmiana przekraczająca granice kości i chrząstki stawowej kończyn)
C40.9,Nowotwór złośliwy (kości i chrząstki stawowe kończyn, nieokreślone)
C41.0,Nowotwór złośliwy (kości czaszki i twarzy)
C41.1,Nowotwór złośliwy (żuchwa)
C41.2,Nowotwór złośliwy (kości kręgosłupa)
C41.3,Nowotwór złośliwy (kości żebra, mostka i obojczyka)
C41.4,Nowotwór złośliwy (kości miednicy, kość krzyżowa i guziczna)
