A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
K25, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydroepiandrosteron niezwiązany (DHEA)
K27, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydroepiandrosteronu siarczan (DHEAS)
K29, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrogenaza glukozo-6-fosforanu (G6PDH)
K31, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrogenaza glutaminianowa (GLDH)
K33, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrogenaza mleczanowa (LDH)
K35, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrogenaza mleczanowa, izoenzymy
K45, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dehydrogenaza β-hydroksymaślanowa (HBDH)
K47, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dekarboksylaza uroporfirynogenu
K49, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> 11-Dezoksykortykotestosteron (DOC)
K51, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> 11-Dezoksykortyzol
K53, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dezoksypirydynolina (DPD)
K55, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dihydrotestosteron
K58, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz (całkowita aktywność, CH50)
K59, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, czynnik B
K61, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, czynnik D
K63, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, czynnik H
K65, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, czynnik P
K67, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C1q
K69, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C1r
K71, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C1s
K73, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C2
K75, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C3
K77, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C4
K79, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Dopełniacz, składowa C5
K81, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Elastaza neutrofilowa
K83, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Elastaza trzustkowa
K85, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Enolaza neuronowa swoista
K87, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> β-Endorfina
K89, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Enzym konwertujący angiotensynę (ACE)
K91, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Erytropoetyna (EPO)
K93, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Esteraza acetylocholinowa
K95, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Esteraza cholinowa surowicy(pseudocholinesteraza)
K97, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Esterazy nieswoiste
K99, Badania laboratoryjne i inne -> Chemia kliniczna 2 -> Estradiol
L01, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Estriol
L03, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fenyloalanina
L05, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Ferrytyna
L07, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> α-fetoproteina (AFP)
L08, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fibronektyna
L09, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fluorek (F)
L11, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfataza alkaliczna
L13, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfataza alkaliczna izoenzym kostny
L15, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfataza kwaśna całkowita
L16, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfataza kwaśna oporna na winian (TRAP)
L17, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfataza kwaśna sterczowa (PAP)
L19, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfatydylogliceryna
L21, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosfolipidy całkowite
L23, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fosforan nieorganiczny
L25, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fruktoza
L27, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Fruktozamina
L29, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Galaktoza
L31, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Gamma glutamylotranspeptydaza (GGTP)
L33, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Gastryna
L35, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Glicerol wolny
L37, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Globulina wiążąca tyroksynę (TBG)
L39, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Globulina wiążąca witaminę D
L41, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Glukagon
L43, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Glukoza z krwi żylnej
L45, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Glutation zredukowany erytrocytów (GSH)
L46, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Gonadotropina kosmówkowa – podjednostka beta (β-HCG) 
L47, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Gonadotropina kosmówkowa (HCG)
L55, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hemoglobina glikowana (HbA1c)
L57, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hemoglobina wolna
L59, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hemopeksyna
L62, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Homocysteina
L63, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hormon adrenokortykotropowy (ACTH)
L65, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hormon folikulotropowy (FSH)
L67, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hormon luteinizujący (LH)
L69, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hormon tyreotropowy (TSH)
L71, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hormon wzrostu (GH)
L73, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> 17-Hydroksykorykosteroidy, całkowite (17-OHCS)
L75, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> 18-Hydroksydezoksykortykosteron
L77, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> 18- Hydroksykortykosteron
L79, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> 17-Hydroksyprogesteron
L81, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> 17-Hydroksypregnenolon
L83, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Hydroksyprolina
L85, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny A (IgA)
L87, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny D (IgD)
L89, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny E całkowite (IgE)
L91, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny E swoiste (IgE)
L93, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny G (IgG)
L95, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Immunoglobuliny M (IgM)
L96, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Inhibior C1-esterazy
L97, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Insulina
L99, Badania laboratoryjne i inne -> Chemia kliniczna 3 -> Interferon
M01, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Interleukina 1
M03, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Interleukina 2
M05, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Interleukina 6
M06, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Interleukina 8
M07, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Jod (J)
M09, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kachektyna (TNF)
M11, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kalcytonina
M13, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> β-karoten
M15, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Katecholaminy
M17, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> 17-Ketosterydy, całkowite (17-KS)
M18, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kinaza fosfokreatynowa (CK)
M19, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kinaza fosfokreatynowa izoenzym CK-MB (CKMB)
M21, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kinaza fosfokreatynowa, izoenzymy
M23, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kinaza fosfokreatynowa, izoformy
M25, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kobalt (Co)
M27, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Koproporfiryna
M29, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kortykosteron
M31, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kortyzol
M33, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kortyzol wolny
M34, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kortykoidy wolne
M35, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kreatyna
M37, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kreatynina
M38, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Ksyloza
M39, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas 5-hydroksy-indolooctowy (5-HIAA)
M41, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas foliowy
M43, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas homowanilinowy (HVA)
M45, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas moczowy
M47, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas wanilinomigdałowy (VMA)
M49, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas β-hydroksymasłowy
M51, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas δ-aminolewulinowy (ALA)
M52, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwas p-aminobenzoesowy (PABA)
M53, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwasy żółciowe
M55, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Kwaśność miareczkowa
M57, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Laktogen łożyskowy
M59, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Laktoza
M61, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lecytyna
M62, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Leptyna
M63, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Leucyloaminopeptydaza (LAP)
M65, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Leucyna
M67, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lipaza
M69, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lipoproteina a [Lp(a)]
M71, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lipoproteiny, rozdział
M73, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lit (Li)
M75, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Lizozym (muramidaza)
M77, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Luka anionowa
M79, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Luka osmotyczna
M81, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Łańcuchy ciężkie
M83, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Łańcuchy lekkie kappa
M85, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Łańcuchy lekkie lambda
M87, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Magnez całkowity (Mg)
M89, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Magnez zjonizowany (Mg<M^>++)
M91, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> α-2-Makroglobulina
M92, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> β2-mikroglobulina
M93, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Mangan (Mn)
M95, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Metionina
M97, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Metoksyadrenalina
M99, Badania laboratoryjne i inne -> Chemia kliniczna 4 -> Metoksykatecholaminy całkowite
N01, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Metoksynoradrenalina
N11, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Mleczan
N13, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Mocznik
N15, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Molibden (Mo)
N17, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> N-Acetyloglukozaminidaza (NAG)
N19, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Neopteryna
N21, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Noradrenalina
N22, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> NT-proANP
N23, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> 5'-Nukleotydaza
N24, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> NT-proBNP
N25, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Osmolarność
N26, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Orozomukoid
N27, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Osteokalcyna
N29, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Parathormon (PTH)
N30, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Parathormon intact (iPTH)
N33, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Peptyd C
N34, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Peptyd natriuretyczny typu B (BNP)
N35, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Peroksydaza glutationowa
N37, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Pirogronian
N39, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Pirydynolina (PYD)
N40, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Podjednostka α hormonów glikoproteidowych
N41, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Porfiryny całkowite
N42, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Karboksyporfiryny
N43, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Porfobilinogen
N45, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Potas (K)
N47, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Prealbumina
N49, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Pregnandiol
N51, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Pregnantriol
N53, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Pregnenolon
N55, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Progesteron
N57, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Proinsulina
N58, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Prokalcytonina
N59, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Prolaktyna
N60, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Protoporfiryna cynkowa
N61, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Protoporfiryny
N63, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw antygenom nadnerczy
N65, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw antygenom przytarczyc
N66, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw białkom bogatym w cytrulinę (CCP)
N67, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw błonie podstawnej kłębków nerkowych (anty-GMB)
N69, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw cytoplazmie (ANCA)
N71, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw czynnikowi wewnętrznemu Castle'a (IFA)
N73, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw desmogleinie
N75, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw DNA dwuniciowemu (dsDNA)
N77, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw DNA jednoniciowemu (ssDNA)
N79, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw endomysium
N81, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw gliadynie klasy IgG
N83, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw gliadynie, klasy IgA
N85, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw histonom
N87, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw insulinie
N89, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw kardiolipinie
N91, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw komórkom mięśni gładkich
N93, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw komórkom mięśni szkieletowych
N95, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw komórkom mięśnia sercowego
N97, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw komórkom okładzinowym żołądka
N99, Badania laboratoryjne i inne -> Chemia kliniczna 5 -> Przeciwciała przeciw komórkom wysp trzustki
O01, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw limfocytom
O03, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw mielinie
O05, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw mitochondriom
O07, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw neutrofilom
O09, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw peroksydazie tarczycowej
O11, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw płytkom krwi
O12, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Identyfikacja alloprzeciwciał
O13, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw receptorowi insuliny
O15, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw receptorowi tyreotropiny
O17, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw retikulinie
O18, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw tyreoglobulinie
O19, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciw tyreotropinie
O21, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przeciwciała przeciwjądrowe (ANA)
O22, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Przedsionkowy peptyd natriuretyczny (ANP)
O23, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Receptory hormonów sterydowych
O24, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Receptor IL2
O25, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Reduktaza glutationu
O26, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Receptor IL6
O27, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Renina
O28, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Rozpuszczalny receptor transferyny (sTfR)
O29, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Równowaga kwasowo-zasadowa (pH, pCO2, pO2, HCO3, BE)
O31, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Selen (Se)
O32, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Somatomedyna C (IGF-1)
O33, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Serotonina
O35, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Sód (Na)
O37, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Syntaza uroporfirynogenu
O39, Badania laboratoryjne i inne -> Chemia kliniczna 6 -> Szczawian
